,city,confidence,country,id,imageId,imageUrl,inscale,isJamUnifiedAlert,location,magvar,nComments,nImages,nThumbsUp,nearBy,pubMillis,reliability,reportBy,reportByActiveGroupIcon,reportByActiveGroupName,reportDescription,reportMood,reportRating,roadType,showFacebookPic,speed,street,subtype,type,uuid,wazeData,datetime,lon,lat,thumbs_up,thumbs_down,comments,geometry
0,Jurong West,1,SN,alert-1638694993/c54e9770-d858-30e9-9429-1908d8d1658d,,,False,False,"{'x': 103.702605, 'y': 1.35154}",136,0,0,2,,1563852850000,7,,,,,0,3,2.0,False,0,Jln Bahar,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,c54e9770-d858-30e9-9429-1908d8d1658d,"world,103.702605,1.35154,c54e9770-d858-30e9-9429-1908d8d1658d,1638694993",2019-07-23 03:34:10,103.702605,1.35154,2,0,2,POINT (103.702605 1.35154)
1,Jurong,2,SN,alert-1644792791/f15b7004-f4f4-3d4f-b11b-02c6cde77b58,,,False,False,"{'x': 103.708187, 'y': 1.329872}",175,0,0,6,,1563856931000,10,,,,,38,3,,False,0,Jln Boon Lay,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,f15b7004-f4f4-3d4f-b11b-02c6cde77b58,"world,103.708187,1.329872,f15b7004-f4f4-3d4f-b11b-02c6cde77b58,1644792791",2019-07-23 04:42:11,103.708187,1.329872,6,0,6,POINT (103.708187 1.329872)
2,Jurong West,0,SN,alert-1641312922/dfa79ede-5dce-3556-9f46-7729ba5f056b,,,False,False,"{'x': 103.704728, 'y': 1.346929}",245,0,0,0,,1563857860000,5,,,,,49,2,2.0,False,0,Jurong West Ave 4,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,dfa79ede-5dce-3556-9f46-7729ba5f056b,"world,103.704728,1.346929,dfa79ede-5dce-3556-9f46-7729ba5f056b,1641312922",2019-07-23 04:57:40,103.704728,1.346929,0,0,0,POINT (103.704728 1.346929)
7,Jurong,0,SN,alert-1654783356/4fde415c-8604-3279-8205-d51efbc2f18e,,,False,False,"{'x': 103.69845, 'y': 1.328129}",0,0,0,1,,1563862463000,6,,,,,0,1,1.0,False,0,Soon Lee Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,4fde415c-8604-3279-8205-d51efbc2f18e,"world,103.69845,1.328129,4fde415c-8604-3279-8205-d51efbc2f18e,1654783356",2019-07-23 06:14:23,103.69845,1.328129,1,0,1,POINT (103.69845 1.328129)
8,Jurong West,0,SN,alert-1656472737/ef762588-87a0-372d-90a3-7aec9eefe133,,,False,False,"{'x': 103.705989, 'y': 1.347656}",58,0,0,1,,1563863337000,6,,,,,24,1,,False,0,Jurong West Ave 2,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,ef762588-87a0-372d-90a3-7aec9eefe133,"world,103.705989,1.347656,ef762588-87a0-372d-90a3-7aec9eefe133,1656472737",2019-07-23 06:28:57,103.705989,1.347656,1,0,1,POINT (103.705989 1.347656)
9,Jurong West,0,SN,alert-1647305528/493520a8-ac79-3be0-9a92-b9b5ebe02d07,,,False,False,"{'x': 103.702145, 'y': 1.346113}",146,0,0,0,,1563863936000,5,,,,,10,2,1.0,False,0,Jurong West St 75,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,493520a8-ac79-3be0-9a92-b9b5ebe02d07,"world,103.702145,1.346113,493520a8-ac79-3be0-9a92-b9b5ebe02d07,1647305528",2019-07-23 06:38:56,103.702145,1.346113,0,0,0,POINT (103.702145 1.346113)
10,Tuas,0,SN,alert-1640186291/9c8188d3-b49c-3916-99a9-ce7844873001,,,False,False,"{'x': 103.638783, 'y': 1.346691}",133,0,0,0,,1563865857000,5,,,,,24,3,2.0,False,0,Jln Ahmad Ibrahim,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,9c8188d3-b49c-3916-99a9-ce7844873001,"world,103.638783,1.346691,9c8188d3-b49c-3916-99a9-ce7844873001,1640186291",2019-07-23 07:10:57,103.638783,1.346691,0,0,0,POINT (103.638783 1.346691)
11,Tuas,0,SN,alert-1642544830/20d58014-78b4-3f3d-8410-53e23a76a170,,,False,False,"{'x': 103.653616, 'y': 1.31514}",133,0,0,0,,1563868826000,5,,,,,10,2,1.0,False,0,Tuas Basin Link,JAM_MODERATE_TRAFFIC,JAM,20d58014-78b4-3f3d-8410-53e23a76a170,"world,103.653616,1.31514,20d58014-78b4-3f3d-8410-53e23a76a170,1642544830",2019-07-23 08:00:26,103.653616,1.31514,0,0,0,POINT (103.653616 1.31514)
12,Buona Vista,0,SN,alert-1654780346/3bb432da-106e-3b7c-a72b-415e08488e6e,,,False,False,"{'x': 103.788534, 'y': 1.305923}",233,0,0,1,,1563849031000,6,,,,,50,2,1.0,False,0,Rochester Drive,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,3bb432da-106e-3b7c-a72b-415e08488e6e,"world,103.788534,1.305923,3bb432da-106e-3b7c-a72b-415e08488e6e,1654780346",2019-07-23 02:30:31,103.788534,1.305923,1,0,1,POINT (103.788534 1.305923)
13,Clementi,2,SN,alert-1654160985/f0341c53-ea25-3412-b0fb-faaf475d98a7,,,False,False,"{'x': 103.766347, 'y': 1.312607}",275,0,0,4,,1563850431000,9,,,,,10,3,1.0,False,0,,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,f0341c53-ea25-3412-b0fb-faaf475d98a7,"world,103.766347,1.312607,f0341c53-ea25-3412-b0fb-faaf475d98a7,1654160985",2019-07-23 02:53:51,103.766347,1.312607,4,0,4,POINT (103.766347 1.312607)
